Time(s),dataset,Engine RPM (rpm),Ambient Air Temperature (°F),Vehicle Speed (MPH),Absolute Throttle Position (%),Absolute Load Value (%),Calculated Engine Load Value (%),Fuel Level Input (%),Engine Coolant Temperature (°F)
5.8,dataset5,773,90,0,11,28.3,39.7,35.7,189
8.7,dataset5,779,90,0,11,26.7,36.1,35.7,189
11.6,dataset5,777,90,0,11,26.4,34.9,35.7,189
14.5,dataset5,780,90,0,11,27,36.2,35.7,189
17.4,dataset5,784,90,0,11,26.7,35.3,35.7,189
20.3,dataset5,788,90,0,11,27,35.5,35.7,189
23.2,dataset5,797,90,0,11,26.7,35.8,35.7,189
26.1,dataset5,796,90,0,11,27,38.4,35.7,189
29,dataset5,786,90,0,11.3,26.9,43.4,35.7,189
31.9,dataset5,785,90,0,11.4,30.5,43.2,35.7,189
34.8,dataset5,778,90,1,11.4,30.6,41.9,36.3,189
37.7,dataset5,778,90,1,11.4,30.9,42.2,39,189
40.6,dataset5,775,90,1,11.5,31.3,45.2,39,190
43.5,dataset5,769,90,2,11.7,33.2,45.5,35.7,190
46.4,dataset5,772,90,1,11.8,37.4,48.1,35.6,190
49.3,dataset5,778,90,1,11.7,35.8,48.6,32,190
52.2,dataset5,781,90,0,11.6,30.2,45.4,31.8,190
55.1,dataset5,789,90,0,11,33.6,41.6,34.4,190
58,dataset5,788,90,0,11,44.7,44.3,37.3,190
60.9,dataset5,784,90,1,11.4,43.8,47.8,37.2,190
63.8,dataset5,793,90,1,11.4,38.9,47.2,37.2,190
66.7,dataset5,818,90,2,11.4,38.5,46.2,40.4,190
69.6,dataset5,1077,90,2,12.6,35.6,57.8,43.9,190
72.5,dataset5,1786,90,4,18.6,35.3,76.1,40.5,190
75.4,dataset5,1883,90,6,19.6,34,68.8,40.7,190
78.3,dataset5,2132,90,13,25.1,36.1,55.2,38.7,189
81.2,dataset5,2112,90,14,25.4,45.9,53.4,35.7,188
84.1,dataset5,1932,90,18,24.7,44.2,50.1,37.2,187
87,dataset5,1899,90,19,25.4,32.9,41.9,39.2,187
89.9,dataset5,1712,90,21,26.7,44.1,28.7,38.4,187
92.8,dataset5,1872,90,23,26.1,104.5,34.1,37.2,187
95.7,dataset5,2299,90,30,20.2,96.4,42.7,36.6,189
98.6,dataset5,2218,90,31,19.1,34,48.1,35.7,188
101.5,dataset5,1867,90,32,11,30,56.4,33.1,187
104.4,dataset5,1817,90,32,10.9,13.2,38.4,29.8,186
107.3,dataset5,1645,90,29,10.2,13,12.7,33,185
110.2,dataset5,1669,90,29,12.5,13.6,17.4,37.3,185
113.1,dataset5,1693,90,28,26,21.6,24.8,35.7,185
116,dataset5,1749,90,29,25.5,57.9,27.5,33.7,185
118.9,dataset5,1871,90,33,20.2,57,32.2,33.7,185
121.8,dataset5,1917,90,34,20.7,46.8,26.7,33.7,185
124.7,dataset5,2029,90,33,24,41.4,16.6,33.3,185
127.6,dataset5,2013,90,33,23.9,15.2,29.5,32.6,185
130.5,dataset5,1852,90,32,16.4,18.6,53.6,33.6,185
133.4,dataset5,1905,90,33,16.6,49.4,43.6,35.7,185
136.3,dataset5,2084,90,34,19.8,50.5,20.2,35.7,185
139.2,dataset5,2020,90,35,19.8,57.5,24,35.7,185
142.1,dataset5,1433,90,36,12.1,55.4,35,35.1,185
145,dataset5,1434,90,37,12.1,24,33,33.7,185
147.9,dataset5,1374,90,35,11.8,24,28.3,34.8,187
150.8,dataset5,1378,90,35,11.8,24.4,28.8,37.2,187
153.7,dataset5,1334,90,34,12.1,24.2,30.7,35.8,189
156.6,dataset5,1332,90,34,12.2,21.7,27.5,32.6,188
159.5,dataset5,1218,90,32,10.8,21.6,18.2,32.1,187
162.4,dataset5,1245,90,32,9.4,22.1,18.1,31,187
165.3,dataset5,1456,90,27,10,21.9,18.7,31,187
168.2,dataset5,1448,90,28,10.6,17.5,19.9,31,187
171.1,dataset5,809,90,18,10.6,17.3,28,31,187
174,dataset5,809,90,7,10.6,23.7,32.6,31,187
176.9,dataset5,1389,90,6,16.9,31.8,63.7,31.3,187
179.8,dataset5,1994,90,5,27,59.4,61.8,32.6,187
182.7,dataset5,3399,90,27,31.8,89.4,52.4,34.7,187
185.6,dataset5,3330,90,28,38,76.2,48.6,42.3,186
188.5,dataset5,1905,90,36,27.6,61.9,33.8,40.7,185
191.4,dataset5,1883,90,36,15.3,37.5,29.7,35.7,186
194.3,dataset5,1268,90,33,12.6,13.5,14.3,35.6,189
197.2,dataset5,1265,90,33,9.4,19.4,15.3,35.3,189
200.1,dataset5,1165,90,21,9.9,19.3,19.4,32.8,189
203,dataset5,1152,90,21,10.6,21.3,23.3,26,189
205.9,dataset5,853,90,2,10.9,21.3,38.5,26.5,189
208.8,dataset5,894,90,3,11.4,52.6,37.2,28.7,189
211.7,dataset5,2424,90,12,15.6,52.9,31.8,31.3,189
214.6,dataset5,2450,90,12,21.5,50.8,33.4,40.7,188
217.5,dataset5,2613,90,17,29.9,48.2,42,41.8,185
220.4,dataset5,2626,90,21,41.5,64,45.5,45.4,185
223.3,dataset5,2098,90,37,33.1,84.2,64.9,44.4,187
226.2,dataset5,2115,90,38,19.2,80.4,62.1,37.2,187
229.1,dataset5,2133,90,40,16.9,73.5,34.6,37.1,189
232,dataset5,2151,90,42,11.4,58.8,34.6,35.3,189
234.9,dataset5,1950,90,42,13.7,27.9,37.7,35.3,189
237.8,dataset5,1621,90,41,20.3,26.9,37.2,35.7,189
240.7,dataset5,1614,90,41,20.8,24.7,25.7,35.5,187
243.6,dataset5,1595,90,41,21.9,26.8,25.4,33.7,187
